#,Library Name,Declared Version,Locked Version,Recommended Version,Library Repo,Maintenance State,Known Issues,CVE Reference,Severity,Risks,Recommendation
1,lodash,^4.17.11,4.17.15,4.17.21 (Angular 9 compatible),https://github.com/lodash/lodash,Active,Prototype pollution," ""CVE-2020-8203|CVE-2019-10744|CVE-2021-23337|CVE-2021-23368""",High,Data integrity,Pin to >=4.17.21; audit transitive deps
2,jquery,^3.3.1,3.3.1,3.5.1,https://github.com/jquery/jquery,Maintenance,Regex / HTML injection,CVE-2020-11022|CVE-2020-11023,High,XSS via crafted HTML attributes,Upgrade to >=3.5.1 or remove
3,axios,0.21.1,0.21.1,0.21.4,https://github.com/axios/axios,Active,Open redirect / SSRF,CVE-2021-3749,Medium,SSRF risk,Upgrade to >=0.21.4; validate URL inputs
4,moment,^2.24.0,2.24.x,2.29.4,https://github.com/moment/moment,Legacy,Regex ReDoS,CVE-2022-31129,Medium,Performance DoS,Upgrade or migrate to Luxon/Day.js
5,moment-timezone,^0.5.21,0.5.21,0.5.43,https://github.com/moment/moment-timezone,Legacy,Outdated timezone DB,,Low,Incorrect time calc,Update to latest 0.5.x
6,ajv,6.12.6,6.12.6,6.12.6,https://github.com/ajv-validator/ajv,Legacy major,Earlier v6 ReDoS,CVE-2020-15366,Low,Schema validation performance,Migrate to Ajv v8 when possible
7,node-sass (optional),5,5.x,Replace with sass,https://github.com/sass/node-sass,Deprecated,Unmaintained binding,GHSA-7gc6-8v5p-wjpj,Medium,Supply chain risk,Migrate to dart-sass
8,protractor,^5.4.4,5.4.4,Replace (Cypress/Playwright),https://github.com/angular/protractor,Deprecated,Project sunset,https://github.com/angular/protractor/issues/5502,Medium,Unsupported tooling,Migrate e2e tests
9,tslint,~6.1.0,6.1.x,Migrate to ESLint,https://github.com/palantir/tslint,Deprecated,End of life,https://github.com/palantir/tslint/issues/4534,Medium,Stagnant rules,Move to angular-eslint
10,@angular/core,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Unpatched future issues,,Medium,Lack of security patches,Upgrade Angular major
11,@angular/common,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Same as core,,Medium,Unpatched issues,Upgrade Angular major
12,@angular/router,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Potential XSS improvements,,Medium,Route-based XSS risk,Upgrade Angular major
13,@angular/compiler,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Security hardening later,,Medium,Template sanitization gaps,Upgrade Angular major
14,@angular/platform-browser,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Browser security updates,,Medium,DOM sanitization gaps,Upgrade Angular major
15,@angular/animations,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,No active patching,,Low,Minor risk surface,Upgrade with core
16,@angular/forms,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Validation improvements later,,Low,Validation risk,Upgrade with core
17,@angular/elements,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Integration evolves,,Low,Web component stability,Upgrade with core
18,@angular/material,~9.2.4,9.2.4,9.2.4,https://github.com/angular/components,EOL (v9),A11y fixes later,,Medium,A11y security,Upgrade Material with framework
19,@angular/cdk,~9.2.4,9.2.4,9.2.4,https://github.com/angular/components,EOL (v9),Same as Material,,Medium,Focus management risks,Upgrade with framework
20,@angular/material-moment-adapter,~9.2.4,9.2.4,9.2.4,https://github.com/angular/components,EOL,Tied to Material,,Low,Date parsing issues,Upgrade with framework
21,@angular/cdk-experimental,~9.2.4,9.2.4,Replace or upgrade,https://github.com/angular/components,Experimental,Less hardened,,Low,Unstable APIs,Remove experimental usage
22,@angular/platform-browser-dynamic,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,JIT exposure,,Low,JIT surface,Prefer AOT & upgrade
23,@angular/localize,~9.1.13,9.1.13,9.1.13,https://github.com/angular/angular,EOL,Pipeline updates later,,Low,i18n edge cases,Upgrade with framework
24,@angular/flex-layout,^9.0.0-beta.29,9.0.0-beta.31,Replace approach,https://github.com/angular/flex-layout,Deprecated (Archived),Archived project,https://github.com/angular/flex-layout/issues/1220,Medium,Layout instability,Move to CSS/Grid/CDK
25,zone.js,~0.10.2,0.10.2,0.11.x,https://github.com/angular/zone.js,Maintenance,Performance fixes later,,Low,Timing/leak edge cases,Upgrade with framework
26,rxjs,~6.5.4,6.5.4,6.6.7,https://github.com/ReactiveX/rxjs,Maintenance (v6),Leak fixes later,,Low,Unsubscribed leak risk,Upgrade to >=6.6.7
